firstname,lastname,emailId,mobile,username,password,verificationToken,status,deleteStatus,verificationStatus
bob,david,bob@gmail.com,7894561230,bob12,bob123,156,true,true,true
john,player,john@gmail.com,3214567890,john11,john23,147,true,true,true
nishi,rathod,nisha.rathod@indianic.com,1234567890,nisha11,nisha,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im5pc2hhLnJhdGhvZEBpbmRpYW5pYy5jb20iLCJpYXQiOjE1MjE3MTM4MDcsImV4cCI6MTUyMTgzMzgwN30.2wgChjZYdqoER4n0i3T87YBVLxIedr38ZaLXQi-bQyA,false,true,true
bob,david,bhole@grr.la,7894561230,bob12,bhole,1854,true,true,true
john,player,nimmi@grr.la,3214567890,john11,nimmi,1321,true,true,true
bob,david,abc@gmail.com,7894561230,bob12,bob123,156,true,true,true
john,player,xyz@gmail.com,3214567890,john11,john23,147,true,true,true
Bhuneshwar,Nirmalkar,bhuneshwar.nirmalkar@indianic.com,9876543210,bhole007,bhole007,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImJodW5lc2h3YXIubmlybWFsa2FyQGluZGlhbmljLmNvbSIsImlhdCI6MTUyMTc4MjYyMCwiZXhwIjoxNTIxOTAyNjIwfQ.tmMhLOz6lSKezM8HMUvl9gJqn3RABFFKTx0GtPQS4BM,false,false,false
Rohan,Test,rohan@gmail.com,88996633111,rhdkk,bhole007,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InJvaGFuQGdtYWlsLmNvbSIsImlhdCI6MTUyMTc4NDA0NCwiZXhwIjoxNTIxOTA0MDQ0fQ.W-UkOCvDH0XXW8XYYiV8szQMuzHAIzqQ9B62EQ1jhYc,false,false,false
Rajesh,Kiran,rajesh@grr.la,95996633111,rj,987654321,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InJhamVzaEBncnIubGEiLCJpYXQiOjE1MjE3ODQxMzMsImV4cCI6MTUyMTkwNDEzM30.ncRSLRIQDnFetGhxMG3yHYXPhv5I-t7J-p6H2Z0RR9U,false,true,false
